EVENT_CATEGORY,EVENT_GROUP,EVENT_SUBGROUP,EVENT_TYPE,PLACE,PROVINCE
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,Balmoral and Val d'Amour areas in Restigouche County NB,NB
Disaster,Natural,Meteorological - Hydrological,Storm - Other,Vancouver BC,BC
Disaster,Natural,Biological,Infestation,Little Saskatchewan First Nation Reserve MB,MB
Disaster,Natural,Meteorological - Hydrological,Avalanche,Glacier National Park BC,BC
Disaster,Natural,Geological,Landslide,Passmore BC,BC
Disaster,Natural,Meteorological - Hydrological,Tornado,Pine Lake AB,AB
Disaster,Natural,Biological,Epidemic,Walkerton ON,ON
Disaster,Natural,Meteorological - Hydrological,Flood,Vanguard SK,SK
Disaster,Natural,Meteorological - Hydrological,Flood,Sydney NS,NS
Disaster,Natural,Meteorological - Hydrological,Flood,Peace River area BC,BC
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,"Morley, Chapple, Dawson, Emo, Lake of the Woods, La Vallee, Rainy River, Fort Frances ON",ON
Disaster,Natural,Meteorological - Hydrological,Wildfire,Montreal Lake SK,SK
Disaster,Natural,Meteorological - Hydrological,Flood,Attawapiskat First Nation ON,ON
Disaster,Natural,Meteorological - Hydrological,Flood,"Municipalities of Ignace, Fort Frances, Rainy River, Alberton, Atikokan, Chapple, Dawson, Emo, La Valle, Lake of the Woods, Morley, Machin; Township of Sioux-Narrows - Nestor Falls, ON",ON
Disaster,Natural,Meteorological - Hydrological,Flood,Southeast MB,MB
Disaster,Natural,Meteorological - Hydrological,Wildfire,"Peerless Lake, Trout Lake AB",AB
Disaster,Natural,Meteorological - Hydrological,Wildfire,Turnor Lake SK,SK
Disaster,Natural,Meteorological - Hydrological,Wildfire,Hawes/Patuanak SK,SK
Disaster,Natural,Meteorological - Hydrological,Wildfire,"Crutwell, Dillon, Hatchett Lake, Pelican Narrows, Deschambeault, Wahpeton First Nation, Nordell, Peter Pond SK",SK
Disaster,Natural,Meteorological - Hydrological,Wildfire,"Nemiscau region, near James Bay QC",QC
Disaster,Natural,Meteorological - Hydrological,Wildfire,Near community of Sheshatshui and town of North West River NL,NL
Disaster,Natural,Meteorological - Hydrological,Wildfire,"Kee-Way-Win FN; Townships of Terrace Bay and Schrieber; Village of Rossport; Pays Plat FN; Deer Lake FN, ON",ON
Disaster,Natural,Meteorological - Hydrological,Flood,Badger NL,NL
Disaster,Natural,Meteorological - Hydrological,Flood,Oxford and Truro NS,NS
Disaster,Natural,Meteorological - Hydrological,Wildfire,"Eastern Passage, Cole Harbour NS",NS
Disaster,Natural,Meteorological - Hydrological,Wildfire,Norman Wells NT,NT
Disaster,Natural,Meteorological - Hydrological,Flood,"The Bois-Francs, Chaudi̬re-Appalaches, Beauce, l'Outaouais, Lanaudi̬re, and Abitibi-T̩miscamingue regions QC",QC
Disaster,Natural,Meteorological - Hydrological,Hurricane,Halifax NS and Charlottetown PE,PE
Disaster,Natural,Meteorological - Hydrological,Flood,Attawapiskat ON,ON
Disaster,Natural,Meteorological - Hydrological,Tornado,Grande Prairie AB,AB
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,Edmonton AB,AB
Disaster,Natural,Meteorological - Hydrological,Flood,The Pas MB,MB
Disaster,Natural,Meteorological - Hydrological,Hurricane,Edmundston NB,NB
Disaster,Natural,Meteorological - Hydrological,Storm Surge,Kings County PE,PE
Disaster,Natural,Geological,Landslide,North Vancouver BC,BC
Disaster,Natural,Meteorological - Hydrological,Flood,Kashechewan ON,ON
Disaster,Natural,Meteorological - Hydrological,Flood,"Fredericton, Jemseg, Sheffield, Maugerville NB",NB
Disaster,Natural,Meteorological - Hydrological,Flood,Fort Good Hope NT,NT
Disaster,Natural,Meteorological - Hydrological,Flood,Bridgewater NS,NS
Disaster,Natural,Meteorological - Hydrological,Wildfire,Chisasibi QC,QC
Disaster,Natural,Meteorological - Hydrological,Flood,"Regional municipalities of Daly, Sifton, Blanshard, Brandon, Strathclair and Woodworth, Oak Lake, Rivers and Dominion City, Melita, Elphinstone, Rural Municipality of Franklin and the town of Deloraine and The Pas MB",MB
Disaster,Natural,Meteorological - Hydrological,Wildfire,"Chibougamau, James Bay QC",QC
Disaster,Natural,Meteorological - Hydrological,Flood,"Cumberland House, Cumberland House Cree First Nation SK",SK
Disaster,Natural,Meteorological - Hydrological,Wildfire,Kelowna BC,BC
Disaster,Natural,Meteorological - Hydrological,Flood,Stephenville NL,NL
Disaster,Natural,Biological,Epidemic,Toronto ON,ON
Disaster,Natural,Biological,Infestation,Kashechewan ON,ON
Disaster,Natural,Meteorological - Hydrological,Storm Surge,Delta BC,BC
Disaster,Natural,Meteorological - Hydrological,Flood,Red Earth SK,SK
Disaster,Natural,Meteorological - Hydrological,Flood,Kashechewan ON,ON
Disaster,Natural,Meteorological - Hydrological,Flood,Slocan River BC,BC
Disaster,Natural,Meteorological - Hydrological,Wildfire,Mistissini QC,QC
Disaster,Natural,Meteorological - Hydrological,Flood,Aklavik NT,NT
Disaster,Natural,Meteorological - Hydrological,Wildfire,Tumbler Ridge BC,BC
Disaster,Natural,Meteorological - Hydrological,Wildfire,Nordegg AB,AB
Disaster,Natural,Meteorological - Hydrological,Wildfire,Cariboo-Chilcotin BC,BC
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,Sainte-Anne-des-Plaines QC,QC
Disaster,Natural,Meteorological - Hydrological,Flood,Saint-Joseph et Vall̩e QC,QC
Disaster,Natural,Meteorological - Hydrological,Winter Storm,Russell ON,ON
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,Vancouver Island BC,BC
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,Vancouver BC,BC
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,Maple Ridge BC,BC
Disaster,Natural,Meteorological - Hydrological,Flood,Selkirk MB,MB
Disaster,Natural,Meteorological - Hydrological,Flood,Red Earth First Nation SK,SK
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,Gatineau QC,QC
Disaster,Natural,Meteorological - Hydrological,Winter Storm,Fishing Lake SK,SK
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,Fishing Lake SK,SK
Disaster,Natural,Meteorological - Hydrological,Wildfire,Sept-�_les QC,QC
Disaster,Natural,Meteorological - Hydrological,Flood,"Terrace, Smithers & Mount Currie BC",BC
Disaster,Natural,Meteorological - Hydrological,Wildfire,Happy Valley - Goose Bay NL,NL
Disaster,Natural,Meteorological - Hydrological,Tornado,Elie MB,MB
Disaster,Natural,Meteorological - Hydrological,Wildfire,South Indian Lake MB,MB
Disaster,Natural,Meteorological - Hydrological,Wildfire,Kootenay BC,BC
Disaster,Natural,Meteorological - Hydrological,Wildfire,Natuashish NL,NL
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,Gasp̩ QC,QC
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,Vancouver BC,BC
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,Matane QC,QC
Disaster,Natural,Meteorological - Hydrological,Flood,Prince George BC,BC
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,Saint John NB,NB
Disaster,Natural,Meteorological - Hydrological,Flood,Port Bruce ON,ON
Disaster,Natural,Meteorological - Hydrological,Flood,Belleville ON,ON
Disaster,Natural,Meteorological - Hydrological,Flood,Paddockwood SK,SK
Disaster,Natural,Meteorological - Hydrological,Flood,Trent Hills ON,ON
Disaster,Natural,Meteorological - Hydrological,Flood,Albany River ON,ON
Disaster,Natural,Meteorological - Hydrological,Flood,Quebec City QC,QC
Disaster,Natural,Meteorological - Hydrological,Flood,Saint John River NB,NB
Disaster,Natural,Meteorological - Hydrological,Flood,James Bay ON,ON
Disaster,Natural,Meteorological - Hydrological,Wildfire,Newbrook AB,AB
Disaster,Natural,Meteorological - Hydrological,Wildfire,Pukatawagan MB,MB
Disaster,Natural,Meteorological - Hydrological,Wildfire,Norway House and Sherridon MB,MB
Disaster,Natural,Meteorological - Hydrological,Flood,High River AB,AB
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,Huntingdon QC,QC
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,Mont̩r̩gie and Eastern Townships QC,QC
Disaster,Natural,Meteorological - Hydrological,Wildfire,Halifax NS,NS
Disaster,Natural,Meteorological - Hydrological,Tornado,Lanaudi̬re QC,QC
Disaster,Natural,Meteorological - Hydrological,Tornado,Winnipeg MB,MB
Disaster,Natural,Meteorological - Hydrological,Wildfire,Deschambault Lake SK,SK
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,Lethbridge AB,AB
Disaster,Natural,Geological,Landslide,Daniels Harbour NL,NL
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,Regina SK,SK
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,La Tuque QC,QC
Disaster,Natural,Meteorological - Hydrological,Hurricane,Saint John NB,NB
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,Kingston ON,ON
Disaster,Natural,Meteorological - Hydrological,Flood,"Terrace, Stewart, Kitimat, Bella Coola, Port Hardy, Queen Charlotte Islands & Prince Rupert BC",BC
Disaster,Natural,Meteorological - Hydrological,Flood,White Rock BC,BC
Disaster,Natural,Meteorological - Hydrological,Flood,"East Kooteney (Elk River-Watershed) Region and the municipalities of Sparwood, Fernie and surrounding areas BC",BC
Disaster,Natural,Meteorological - Hydrological,Flood,Baie Verte Peninsula NL,NL
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,Halifax and Lunenburg NS,NS
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,"Peninsulas of Avalon, Burin and Bonavista NL",NL
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,"Municipalities of Pipestone, Sifton, Cameron, White water, Morton, Riverside, Turtle Mountain, Strathcona and Argyle and the Whiteshell Provincial Park MB",MB
Disaster,Natural,Meteorological - Hydrological,Flood,Pangnirtung NU,NU
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,Queens County PE,PE
Disaster,Natural,Meteorological - Hydrological,Flood,Hay River NT,NT
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,"Colchester, Pictou, Antigonish, Inverness, Victoria, Cumberland and Halifax NS",NS
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,"West of Gander, East to Hare Bay, South to Swift Current NL",NL
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,Greater Vancouver and Fraser Valley BC,BC
Disaster,Natural,Geological,Landslide,Khyex River BC,BC
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,"Calgary, Edmonton, St. Albert, the town of Stony Plain, Parkland County, Two Hills County, Kneehill County, Camrose, and the municipal districts of Rocky View and Bighorn AB",AB
Disaster,Natural,Meteorological - Hydrological,Flood,Rock Creek and Henderson Corner in the Klondike Valley YT,YT
Disaster,Natural,Meteorological - Hydrological,Wildfire,Wemotaci reserve and La Tuque QC,QC
Disaster,Natural,Meteorological - Hydrological,Wildfire,"Kelowna, Kamloops and Cariboo BC",BC
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,"Ottawa, Toronto and Windsor ON",ON
Disaster,Natural,Meteorological - Hydrological,Storm Surge,Tuktoyaktuk and Mackenzie Delta NT,NT
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,"Lorette River, Quebec City QC",QC
Disaster,Natural,Meteorological - Hydrological,Tornado,"Toronto, Windsor, Vaughan and Newmarket ON",ON
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,Hamilton and Toronto ON,ON
Disaster,Natural,Meteorological - Hydrological,Storm - Other,"Montreal, Alma, La Tuque and Baie-Saint-Paul QC",QC
Disaster,Natural,Meteorological - Hydrological,Flood,"Saint John, Miramichi and Restigouche rivers NB",NB
Disaster,Natural,Geological,Earthquake,Val-des-Bois and Gracefield QC,QC
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,Winnipeg to Steinbach MB,MB
Disaster,Natural,Meteorological - Hydrological,Wildfire,13km East of Cranberry Portage MB,MB
Disaster,Natural,Meteorological - Hydrological,Hurricane,Halifax NS,NS
Disaster,Natural,Meteorological - Hydrological,Flood,Meat Cove NS,NS
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,Edmonton area AB,AB
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,Yarmouth County NS,NS
Disaster,Natural,Meteorological - Hydrological,Storm Surge,Baie-Verte and Port Elgin NB,NB
Disaster,Natural,Meteorological - Hydrological,Tornado,Kawacatoose First Nation SK,SK
Disaster,Natural,Meteorological - Hydrological,Winter Storm,Lambton County ON,ON
Disaster,Natural,Meteorological - Hydrological,Tornado,Midland ON,ON
Disaster,Natural,Meteorological - Hydrological,Tornado,Leamington ON,ON
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,North Battleford SK,SK
Disaster,Natural,Meteorological - Hydrological,Wildfire,"Williams Lake, Chilcotin, Houston, Burns Lake and Fraser Lake BC",BC
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,Southeast YT,YT
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,"Vancouver, Fraser Valley and the Greater Vancouver Regional Districts BC",BC
Disaster,Natural,Meteorological - Hydrological,Flood,Winisk ON,ON
Disaster,Natural,Meteorological - Hydrological,Winter Storm,St. John's NL,NL
Disaster,Natural,Meteorological - Hydrological,Wildfire,County of Thorhild AB,AB
Disaster,Natural,Geological,Landslide,Britannia Beach BC,BC
Disaster,Natural,Meteorological - Hydrological,Flood,Perth-Andover NB,NB
Disaster,Natural,Meteorological - Hydrological,Flood,"Harrow, Kent, Essex, Leamington counties ON",ON
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,Grande Prairie AB,AB
Disaster,Natural,Biological,Epidemic,"Glengarry Hospital, Victoria BC",BC
Disaster,Natural,Meteorological - Hydrological,Wildfire,Chapleau ON,ON
Disaster,Natural,Meteorological - Hydrological,Flood,Saint John River Basin NB,NB
Disaster,Natural,Meteorological - Hydrological,Flood,Saguenay River Valley QC,QC
Disaster,Natural,Meteorological - Hydrological,Flood,Montreal and Mauricie Region QC,QC
Disaster,Natural,Meteorological - Hydrological,Flood,Gasp̩ and Bonaventure QC,QC
Disaster,Natural,Meteorological - Hydrological,Tornado,Portage la Prairie MB,MB
Disaster,Natural,Meteorological - Hydrological,Wildfire,"Cross Lake, Seymourville MB",MB
Disaster,Natural,Meteorological - Hydrological,Flood,"High River, City of Calgary, City of Red Deer, Red Deer County, Drumheller, Black Diamond, Pincher Creek, Fort Macleod, Okotoks, Turner Valley, Sundre, Mountainview County, District of Foothills, Clearwater County, Siksika First Nation, Tsuu T'ina First Nation AB",AB
Disaster,Natural,Meteorological - Hydrological,Wildfire,Haileybury ON,ON
